"energy","zcr","peak","dominant_frequency","spectral_centroid","spectral_bandwidth","label"
35303664,0.39917,1273,167,816.178833,582.848083,"clap"
12866670,0.407715,390,34,912.611267,605.013977,"clap"
35071488,0.388428,962,85,792.467224,586.161804,"clap"
12433532,0.421387,729,34,922.241333,590.397583,"clap"
20958748,0.423828,1014,1573,986.637756,569.727722,"clap"
21429304,0.413818,973,1554,1020.352112,558.835815,"clap"
20981028,0.405029,1032,79,897.561401,589.737,"clap"
21702232,0.418457,1024,1549,934.583923,584.508179,"clap"
21475928,0.44873,967,1569,1022.539612,560.122559,"clap"
30380324,0.424561,958,1570,945.235779,602.283997,"clap"
32561196,0.44458,891,173,951.048584,596.642944,"clap"
25596072,0.4375,987,1580,996.703857,591.61261,"clap"
22813108,0.412109,970,165,892.510498,600.040283,"clap"
13783444,0.42041,670,1555,926.92865,606.321167,"clap"
20183116,0.383789,883,167,949.399048,578.803711,"clap"
16719025,0.367676,1001,81,848.297485,587.396545,"clap"
21202544,0.395264,1006,34,908.881653,574.563782,"clap"
29281712,0.327881,478,46,820.628235,605.412964,"clap"
26313052,0.311768,698,164,886.755737,599.201782,"clap"
26205936,0.352783,953,142,749.037659,590.280762,"clap"
16574559,0.330566,803,79,871.248108,606.392944,"clap"
29759444,0.294434,753,145,816.891968,577.206116,"clap"
24818380,0.282715,624,157,795.342102,575.924377,"clap"
21259488,0.314209,479,157,835.739258,583.464966,"clap"
17168168,0.406982,753,947,951.036682,575.764282,"clap"
23304756,0.428955,837,947,970.332214,571.398926,"clap"
24667944,0.427002,1040,947,958.787781,565.394226,"clap"
26741944,0.416504,999,947,968.736511,572.598145,"clap"
24932080,0.418701,996,34,970.353455,575.132751,"clap"
14943081,0.407471,544,947,926.271423,586.254028,"clap"
20030160,0.410645,1232,947,931.232239,571.916565,"clap"
15068946,0.426758,487,947,958.046448,591.104309,"clap"
18251256,0.425537,778,34,962.884949,569.527527,"clap"
18511860,0.406006,908,947,958.418579,575.422485,"clap"
35768300,0.272217,481,58,789.694458,614.24231,"clap"
36244744,0.263184,912,53,792.364502,599.297913,"clap"
35699060,0.24585,913,55,806.595337,632.464478,"clap"
30771532,0.272949,630,52,799.703552,591.358643,"clap"
33168516,0.266602,664,54,787.406006,602.00238,"clap"
42203936,0.26001,952,51,837.787659,605.320251,"clap"
35860028,0.276611,887,54,846.736877,601.755249,"clap"
