"energy","zcr","peak","dominant_frequency","label"
75158358,0.375977,820,128,"snap"
12582858,0.438965,957,37,"snap"
15168752,0.424561,987,37,"snap"
17945669,0.44043,968,535,"snap"
15421342,0.419922,994,110,"snap"
12705874,0.421631,833,110,"snap"
68946080,0.359619,1002,454,"snap"
35541159,0.3479,1515,110,"snap"
32383106,0.405762,988,110,"snap"
35200693,0.385254,1023,110,"snap"
38224501,0.365479,957,110,"snap"
419188610,0.554688,1436,0,"whistle"
92285618,0.554199,1023,1922,"whistle"
151005665,0.533936,1009,551,"whistle"
38914445,0.538574,800,0,"whistle"
192780738,0.524658,905,538,"whistle"
20046247,0.529297,672,1926,"whistle"
227898587,0.457764,994,526,"whistle"
22690952,0.492676,920,45,"whistle"
188400463,0.553467,961,1743,"whistle"
23583023,0.481689,1153,213,"whistle"
228499076,0.465576,975,37,"whistle"
24600609,0.445312,954,34,"whistle"
133767423,0.457031,925,33,"whistle"
32144196,0.421631,770,35,"whistle"
13796341,0.438232,1232,156,"whistle"
211545979,0.560791,986,1932,"whistle"
178034999,0.505127,973,0,"whistle"
32692126,0.52417,1009,83,"whistle"
26541098,0.5,985,59,"whistle"
141947810,0.5,955,150,"whistle"
253495623,0.530273,997,532,"whistle"
9364373,0.50415,258,785,"whistle"
110966695,0.563232,1202,569,"whistle"
12890921,0.535156,344,567,"whistle"
68992091,0.553955,788,572,"whistle"
10464217,0.500977,493,71,"whistle"
44811200,0.537109,647,567,"whistle"
10200252,0.464844,398,160,"whistle"
9735359,0.47583,351,193,"whistle"
100747295,0.496094,797,521,"whistle"
293363658,0.400146,941,504,"whistle"
95255524,0.53418,729,27,"whistle"
167392650,0.530029,953,500,"whistle"
56020824,0.532715,766,110,"whistle"
122698351,0.494385,1102,110,"whistle"
22953067,0.43457,552,69,"whistle"
11712848,0.488525,494,110,"whistle"
67505513,0.472656,874,46,"whistle"
96592070,0.555908,957,1916,"whistle"
11058357,0.436035,413,110,"whistle"
234583366,0.519287,1516,546,"whistle"
368433917,0.44165,1390,508,"whistle"
22219822,0.494873,1019,109,"whistle"
41866898,0.506836,989,507,"whistle"
185783732,0.533936,982,628,"whistle"
39425270,0.516357,589,109,"whistle"
32507703,0.474121,1516,109,"whistle"
179492796,0.50708,958,1731,"whistle"
23642316,0.532227,1520,109,"whistle"
13642433,0.439941,501,83,"whistle"
53868603,0.478027,974,69,"whistle"
257141464,0.425049,1178,506,"whistle"
72964041,0.46582,876,50,"whistle"
23266745,0.418213,874,33,"whistle"
14731271,0.421875,794,110,"whistle"
68365433,0.469238,695,110,"whistle"
151858779,0.533203,904,510,"whistle"
15827854,0.41748,892,46,"whistle"
38415842,0.482666,983,110,"whistle"
187983893,0.487549,1015,151,"whistle"
33656310,0.435303,495,108,"whistle"
11268928,0.481445,332,53,"whistle"
